Rolls,Payoff
0,0
5,12
10,43
15,46
20,60
25,11
30,14
35,48
40,38
45,11
50,76
55,0
60,6
65,2
70,40
75,29
80,12
85,70
90,46
95,26
100,0
105,23
110,147
115,63
120,5
125,33
130,37
135,30
140,42
145,116
150,19
155,11
160,6
165,35
170,6
175,21
180,76
185,60
190,108
195,14
200,101
205,79
210,0
215,18
220,31
225,6
230,0
235,6
240,14
245,0
250,13
255,6
260,14
265,26
270,6
275,105
280,8
285,18
290,19
295,38
300,38
305,47
310,5
315,18
320,51
325,182
330,531
335,29
340,21
345,5
350,0
355,0
360,11
365,23
370,76
375,245
380,39
385,211
390,43
395,0
400,7
405,249
410,63
415,82
420,6
425,40
430,0
435,0
440,87
445,0
450,0
455,65
460,12
465,5
470,0
475,24
480,52
485,3
490,7
495,19
500,266
505,90
510,38
515,24
520,2
525,2
530,63
535,17
540,5
545,0
550,92
555,57
560,472
565,59
570,31
575,11
580,43
585,408
590,0
595,0
600,0
605,8
610,97
615,7
620,87
625,43
630,0
635,0
640,2
645,15
650,24
655,47
660,21
665,30
670,6
675,75
680,178
685,32
690,28
695,14
700,18
705,11
710,57
715,541
720,7
725,70
730,0
735,167
740,5
745,71
750,18
755,141
760,3
765,0
770,0
775,0
780,69
785,18
790,33
795,0
800,13
805,23
810,57
815,5
820,42
825,0
830,180
835,39
840,39
845,12
850,3
855,40
860,75
865,17
870,23
875,20
880,22
885,15
890,65
895,21
900,38
905,175
910,114
915,47
920,5
925,208
930,8
935,0
940,0
945,12
950,20
955,6
960,97
965,210
970,98
975,137
980,0
985,12
990,31
995,41
