Rolls,Payoff
0,0
3,11
6,17
9,3
12,23
15,13
18,55
21,15
24,67
27,97
30,21
33,46
36,0
39,0
42,104
45,29
48,5
51,20
54,111
57,0
60,66
63,59
66,0
69,3
72,47
75,27
78,60
81,2
84,51
87,75
90,73
93,6
96,0
99,72
102,15
105,15
108,0
111,37
114,21
117,3
120,10
123,63
126,19
129,76
132,184
135,119
138,12
141,23
144,13
147,23
150,6
153,39
156,6
159,17
162,26
165,6
168,28
171,71
174,11
177,0
180,8
183,0
186,17
189,0
192,0
195,0
198,21
201,6
204,47
207,11
210,6
213,24
216,5
219,22
222,21
225,0
228,3
231,17
234,31
237,78
240,12
243,0
246,21
249,12
252,296
255,5
258,0
261,29
264,14
267,26
270,32
273,28
276,0
279,15
282,11
285,71
288,168
291,63
294,3
297,0
300,80
303,28
306,96
309,167
312,20
315,32
318,27
321,28
324,97
327,0
330,291
333,35
336,33
339,12
342,77
345,41
348,46
351,11
354,0
357,2
360,0
363,72
366,19
369,8
372,19
375,91
378,0
381,30
384,5
387,46
390,6
393,47
396,91
399,0
402,23
405,85
408,10
411,1320
414,29
417,0
420,6
423,61
426,158
429,0
432,0
435,14
438,272
441,0
444,8
447,70
450,11
453,18
456,603
459,27
462,11
465,45
468,34
471,74
474,17
477,3
480,0
483,13
486,2
489,19
492,15
495,78
498,62
501,73
504,91
507,40
510,17
513,7
516,21
519,8
522,190
525,5
528,17
531,26
534,44
537,27
540,19
543,15
546,11
549,30
552,270
555,52
558,310
561,168
564,14
567,20
570,253
573,45
576,63
579,97
582,8
585,6
588,67
591,42
594,32
597,6
600,27
603,8
606,14
609,148
612,0
615,110
618,0
621,11
624,30
627,77
630,46
633,84
636,56
639,14
642,8
645,0
648,3
651,6
654,23
657,3
660,0
663,78
666,186
669,7
672,41
675,10
678,10
681,37
684,246
687,112
690,13
693,320
696,23
699,6
702,0
705,6
708,3
711,18
714,28
717,41
720,26
723,3
726,2
729,34
732,11
735,5
738,0
741,92
744,6
747,19
750,236
753,10
756,3
759,71
762,7
765,66
768,19
771,13
774,11
777,37
780,0
783,0
786,5
789,42
792,6
795,59
798,6
801,11
804,8
807,12
810,126
813,6
816,28
819,34
822,34
825,5
828,0
831,92
834,46
837,47
840,19
843,119
846,8
849,181
852,34
855,63
858,109
861,3
864,6
867,15
870,0
873,22
876,18
879,13
882,76
885,47
888,57
891,47
894,27
897,68
900,2
903,154
906,56
909,26
912,2
915,66
918,14
921,20
924,5
927,251
930,6
933,0
936,5
939,20
942,5
945,68
948,3
951,3
954,269
957,103
960,51
963,10
966,10
969,17
972,15
975,0
978,95
981,17
984,44
987,3
990,0
993,0
996,63
999,78
1002,127
1005,8
1008,0
1011,97
1014,0
1017,13
1020,6
1023,0
1026,38
1029,240
1032,13
1035,0
1038,6
1041,10
1044,502
1047,164
1050,13
1053,59
1056,882
1059,76
1062,57
1065,3
1068,30
1071,184
1074,0
1077,23
1080,0
1083,96
1086,105
1089,52
1092,10
1095,8
1098,0
1101,14
1104,3
1107,35
1110,97
1113,106
1116,11
1119,0
1122,0
1125,103
1128,0
1131,0
1134,59
1137,5
1140,123
1143,23
1146,14
1149,65
1152,22
1155,33
1158,18
1161,55
1164,0
1167,6
1170,29
1173,23
1176,6
1179,0
1182,95
1185,13
1188,138
1191,33
1194,14
1197,3
1200,12
1203,33
1206,10
1209,6
1212,3
1215,14
1218,0
1221,8
1224,0
1227,5
1230,6
1233,18
1236,297
1239,0
1242,27
1245,0
1248,6
1251,736
1254,27
1257,54
1260,43
1263,125
1266,5
1269,0
1272,7
1275,0
1278,281
1281,6
1284,50
1287,54
1290,29
1293,135
1296,0
1299,0
1302,19
1305,108
1308,138
1311,138
1314,87
1317,156
1320,14
1323,29
1326,23
1329,28
1332,8
1335,13
1338,26
1341,262
1344,0
1347,6
1350,43
1353,72
1356,96
1359,59
1362,86
1365,13
1368,0
1371,3
1374,103
1377,68
1380,0
1383,27
1386,0
1389,7
1392,157
1395,31
1398,0
1401,5
1404,56
1407,0
1410,14
1413,342
1416,87
1419,3
1422,118
1425,11
1428,27
1431,94
1434,42
1437,129
1440,6
1443,177
1446,77
1449,3
1452,5
1455,8
1458,2
1461,32
1464,33
1467,21
1470,18
1473,13
1476,56
1479,87
1482,0
1485,32
1488,141
1491,8
1494,11
1497,8
1500,24
1503,22
1506,0
1509,0
1512,0
1515,6
1518,192
1521,153
1524,63
1527,158
1530,78
1533,0
1536,42
1539,141
1542,62
1545,5
1548,75
1551,2
1554,155
1557,2
1560,287
1563,0
1566,0
1569,17
1572,62
1575,340
1578,55
1581,0
1584,19
1587,20
1590,8
1593,238
1596,46
1599,17
1602,56
1605,21
1608,99
1611,520
1614,26
1617,27
1620,0
1623,15
1626,0
1629,0
1632,61
1635,13
1638,59
1641,6
1644,28
1647,13
1650,5
1653,0
1656,60
1659,2
1662,136
1665,351
1668,93
1671,294
1674,13
1677,48
1680,67
1683,22
1686,34
1689,173
1692,160
1695,13
1698,32
1701,82
1704,94
1707,12
1710,57
1713,67
1716,6
1719,0
1722,3
1725,21
1728,0
1731,70
1734,5
1737,24
1740,24
1743,0
1746,0
1749,0
1752,14
1755,6
1758,15
1761,26
1764,44
1767,19
1770,13
1773,134
1776,51
1779,99
1782,27
1785,44
1788,80
1791,112
1794,8
1797,8
1800,0
1803,87
1806,213
1809,318
1812,0
1815,72
1818,138
1821,26
1824,0
1827,229
1830,22
1833,194
1836,11
1839,0
1842,99
1845,0
1848,17
1851,6
1854,0
1857,27
1860,84
1863,62
1866,3
1869,86
1872,83
1875,5
1878,65
1881,160
1884,57
1887,10
1890,32
1893,13
1896,47
1899,0
1902,6
1905,40
1908,57
1911,224
1914,55
1917,87
1920,67
1923,67
1926,138
1929,109
1932,0
1935,0
1938,12
1941,0
1944,409
1947,440
1950,24
1953,8
1956,0
1959,24
1962,211
1965,55
1968,69
1971,203
1974,188
1977,0
1980,140
1983,87
1986,62
1989,20
1992,21
1995,35
1998,27
2001,26
2004,13
2007,37
2010,3
2013,6
2016,29
2019,101
2022,0
2025,22
2028,0
2031,18
2034,0
2037,0
2040,24
2043,19
2046,28
2049,11
2052,0
2055,137
2058,88
2061,28
2064,91
2067,29
2070,67
2073,34
2076,5
2079,6
2082,11
2085,139
2088,422
2091,58
2094,111
2097,11
2100,2
2103,3
2106,63
2109,0
2112,6
2115,41
2118,0
2121,149
2124,20
2127,227
2130,76
2133,283
2136,94
2139,0
2142,316
2145,6
2148,11
2151,0
2154,156
2157,99
2160,46
2163,46
2166,46
2169,11
2172,21
2175,156
2178,10
2181,17
2184,103
2187,191
2190,34
2193,72
2196,52
2199,33
2202,0
2205,13
2208,57
2211,7
2214,12
2217,31
