Rolls,Payoff
0,0
1,2
2,6
3,12
4,10
5,10
6,5
7,0
8,23
9,38
10,0
11,29
12,0
13,38
14,5
15,6
16,35
17,15
18,26
19,67
20,3
21,45
22,0
23,8
24,50
25,29
26,8
27,58
28,91
29,0
30,2
31,0
32,2
33,112
34,96
35,13
36,86
37,74
38,14
39,0
40,59
41,13
42,19
43,110
44,46
45,92
46,0
47,3
48,0
49,11
50,152
51,56
52,7
53,29
54,3
55,15
56,56
57,106
58,23
59,46
60,92
61,42
62,17
63,13
64,8
65,77
66,0
67,235
68,0
69,19
70,30
71,73
72,20
73,6
74,97
75,123
76,13
77,150
78,248
79,79
80,51
81,34
82,17
83,0
84,3
85,39
86,53
87,120
88,211
89,17
90,272
91,53
92,11
93,15
94,41
95,93
96,2
97,145
98,12
99,0
100,35
101,8
102,5
103,61
104,27
105,32
106,8
107,18
108,34
109,29
110,69
111,0
112,39
113,17
114,191
115,82
116,157
117,62
118,340
119,42
120,0
121,6
122,0
123,0
124,43
125,14
126,12
127,6
128,21
129,23
130,28
131,72
132,6
133,76
134,56
135,0
136,20
137,56
138,44
139,5
140,3
141,0
142,0
143,22
144,123
145,11
146,17
147,10
148,24
149,5
150,5
151,11
152,23
153,0
154,0
155,101
156,43
157,31
158,32
159,19
160,8
161,18
162,94
163,98
164,6
165,8
166,189
167,0
168,170
169,0
170,0
171,2
172,6
173,18
174,302
175,77
176,15
177,79
178,0
179,52
180,405
181,23
182,195
183,167
184,24
185,109
186,24
187,137
188,71
189,21
190,59
191,86
192,7
193,135
194,24
195,19
196,3
197,21
198,321
199,19
200,104
201,37
202,62
203,6
204,26
205,6
206,77
207,232
208,7
209,15
210,2
211,13
212,0
213,0
214,390
215,142
216,35
217,0
218,22
219,35
220,0
221,98
222,85
223,19
224,10
225,76
226,6
227,23
228,26
229,6
230,12
231,3
232,138
233,6
234,30
235,2
236,34
237,28
238,42
239,89
240,20
241,39
242,5
243,359
244,116
245,35
246,15
247,0
248,46
249,0
250,46
251,59
252,495
253,66
254,59
255,253
256,32
257,24
258,0
259,0
260,366
261,3
262,394
263,0
264,0
265,130
266,5
267,11
268,7
269,32
270,65
271,24
272,141
273,42
274,26
275,14
276,31
277,27
278,42
279,0
280,24
281,20
282,57
283,3
284,41
285,21
286,0
287,0
288,87
289,128
290,5
291,95
292,0
293,0
294,22
295,55
296,52
297,0
298,48
299,141
300,0
301,94
302,72
303,15
304,14
305,53
306,7
307,5
308,7
309,11
310,34
311,18
312,10
313,34
314,13
315,54
316,39
317,45
318,6
319,43
320,98
321,5
322,5
323,5
324,26
325,0
326,171
327,355
328,2
329,18
330,268
331,29
332,76
333,24
334,98
335,20
336,0
337,165
338,15
339,145
340,6
341,0
342,5
343,86
344,199
345,14
346,13
347,0
348,15
349,6
350,126
351,0
352,0
353,5
354,136
355,10
356,29
357,143
358,38
359,77
360,130
361,84
362,41
363,12
364,20
365,68
366,10
367,2
368,163
369,83
370,31
371,0
372,31
373,93
374,12
375,86
376,27
377,18
378,177
379,285
380,21
381,7
382,10
383,70
384,5
385,89
386,11
387,229
388,0
389,35
390,77
391,23
392,0
393,12
394,0
395,6
396,8
397,0
398,2
399,46
400,0
401,15
402,112
403,50
404,134
405,12
406,54
407,5
408,11
409,5
410,442
411,3
412,38
413,0
414,17
415,32
416,84
417,0
418,50
419,10
420,14
421,10
422,30
423,13
424,290
425,54
426,116
427,88
428,0
429,23
430,0
431,125
432,5
433,19
434,3
435,12
436,123
437,45
438,0
439,11
440,14
441,104
442,2
443,73
444,72
445,12
446,14
447,65
448,0
449,28
450,15
451,13
452,39
453,228
454,35
455,78
456,111
457,42
458,12
459,0
460,11
461,12
462,41
463,41
464,114
465,6
466,28
467,6
468,27
469,18
470,0
471,32
472,76
473,28
474,0
475,13
476,24
477,6
478,220
479,45
480,7
481,0
482,6
483,41
484,63
485,284
486,290
487,158
488,245
489,59
490,3
491,34
492,5
493,41
494,17
495,23
496,26
497,61
498,27
499,17
500,53
501,176
502,108
503,5
504,14
505,0
506,0
507,119
508,30
509,46
510,41
511,27
512,35
513,2
514,6
515,102
516,6
517,41
518,86
519,20
520,7
521,58
522,0
523,22
524,0
525,59
526,189
527,8
528,0
529,91
530,5
531,42
532,252
533,10
534,140
535,62
536,115
537,138
538,27
539,307
540,45
541,11
542,109
543,10
544,68
545,201
546,0
547,20
548,6
549,10
550,0
551,155
552,14
553,259
554,33
555,28
556,110
557,77
558,8
559,5
560,27
561,0
562,6
563,0
564,431
565,67
566,18
567,109
568,44
569,0
570,0
571,57
572,57
573,190
574,41
575,285
576,106
577,13
578,0
579,11
580,0
581,5
582,8
583,52
584,31
585,97
586,0
587,59
588,197
589,70
590,33
591,63
592,5
593,52
594,0
595,12
596,6
597,11
598,18
599,91
600,65
601,17
602,6
603,22
604,21
605,27
606,101
607,27
608,8
609,23
610,12
611,86
612,0
613,30
614,0
615,15
616,83
617,0
618,38
619,39
620,53
621,153
622,37
623,10
624,75
625,0
626,6
627,22
628,15
629,66
630,0
631,21
632,18
633,160
634,29
635,26
636,108
637,70
638,15
639,31
640,75
641,2
642,6
643,74
644,52
645,13
646,2
647,21
648,14
649,21
650,0
651,0
652,0
653,43
654,141
655,17
656,209
657,277
658,102
659,6
660,54
661,0
662,34
663,0
664,6
665,41
666,45
667,21
668,101
669,30
670,3
671,73
672,39
673,0
674,93
675,5
676,6
677,0
678,268
679,14
680,71
681,0
682,0
683,58
684,44
685,0
686,7
687,94
688,15
689,197
690,202
691,3
692,3
693,3
694,160
695,48
696,0
697,71
698,21
699,109
700,0
701,84
702,74
703,15
704,13
705,0
706,2
707,13
708,31
709,105
710,0
711,216
712,80
713,332
714,98
715,19
716,129
717,148
718,61
719,38
720,26
721,8
722,29
723,13
724,6
725,111
726,322
727,381
728,10
729,141
730,0
731,21
732,5
733,8
734,2
735,34
736,129
737,17
738,84
739,0
740,78
741,6
742,2
743,60
744,6
745,6
746,436
747,13
748,0
749,19
750,3
751,2
752,37
753,0
754,189
755,118
756,154
757,26
758,93
759,111
760,0
761,22
762,72
763,72
764,13
765,111
766,7
767,356
768,60
769,32
770,5
771,5
772,66
773,223
774,174
775,66
776,14
777,0
778,191
779,0
780,14
781,0
782,13
783,15
784,3
785,6
786,8
787,73
788,5
789,45
790,3
791,2
792,0
793,381
794,33
795,5
796,83
797,33
798,243
799,77
800,17
801,18
802,3
803,35
804,13
805,80
806,21
807,21
808,0
809,29
810,28
811,18
812,14
813,163
814,103
815,18
816,0
817,79
818,23
819,105
820,57
821,407
822,23
823,402
824,130
825,32
826,5
827,60
828,109
829,0
830,42
831,159
832,323
833,0
834,54
835,0
836,0
837,14
838,23
839,274
840,141
841,2
842,97
843,3
844,8
845,18
846,56
847,246
848,0
849,0
850,13
851,103
852,13
853,6
854,117
855,77
856,47
857,0
858,18
859,123
860,6
861,134
862,27
863,23
864,2
865,14
866,0
867,3
868,29
869,8
870,12
871,13
872,0
873,85
874,0
875,27
876,171
877,136
878,12
879,11
880,7
881,27
882,336
883,0
884,53
885,19
886,3
887,6
888,0
889,265
890,51
891,66
892,35
893,78
894,0
895,32
896,143
897,372
898,0
899,11
900,39
901,58
902,42
903,5
904,50
905,17
906,6
907,185
908,0
909,65
910,42
911,22
912,19
913,0
914,47
915,6
916,60
917,0
918,5
919,34
920,19
921,158
922,0
923,61
924,34
925,57
926,19
927,2
928,54
929,27
930,0
931,50
932,111
933,0
934,43
935,21
936,102
937,21
938,161
939,103
940,113
941,89
942,63
943,19
944,260
945,45
946,103
947,5
948,21
949,3
950,14
951,0
952,0
953,63
954,206
955,633
956,0
957,112
958,8
959,18
960,46
961,285
962,21
963,34
964,14
965,7
966,0
967,19
968,2
969,12
970,0
971,13
972,119
973,262
974,30
975,66
976,5
977,14
978,24
979,0
980,0
981,43
982,22
983,6
984,35
985,110
986,33
987,21
988,61
989,6
990,0
991,62
992,5
993,93
994,252
995,3
996,32
997,0
998,7
999,161
1000,0
1001,13
1002,57
1003,35
1004,48
1005,33
1006,3
1007,2
1008,61
1009,5
1010,27
1011,24
1012,101
1013,11
1014,0
1015,7
1016,30
1017,286
1018,12
1019,41
1020,113
1021,141
1022,11
1023,28
1024,0
1025,8
1026,53
1027,5
1028,110
1029,23
1030,97
1031,310
1032,188
1033,0
1034,56
1035,92
1036,68
1037,13
1038,113
1039,27
1040,170
1041,14
1042,11
1043,20
1044,19
1045,0
1046,2
1047,23
1048,2
1049,128
1050,10
1051,66
1052,0
1053,34
1054,137
1055,47
1056,18
1057,34
1058,28
1059,172
1060,51
1061,30
1062,6
1063,0
1064,5
1065,146
1066,40
1067,22
1068,8
1069,3
1070,24
1071,22
1072,14
1073,233
1074,0
1075,6
1076,2
1077,0
1078,45
1079,0
1080,46
1081,0
1082,119
1083,31
1084,44
1085,66
1086,0
1087,24
1088,17
1089,0
1090,15
1091,27
1092,2
1093,5
1094,12
1095,15
1096,3
1097,20
1098,0
1099,86
1100,15
1101,237
1102,3
1103,24
1104,2
1105,38
1106,39
1107,6
1108,15
1109,124
1110,47
1111,3
1112,50
1113,305
1114,34
1115,0
1116,63
1117,57
1118,73
1119,10
1120,65
1121,222
1122,11
1123,56
1124,161
1125,305
1126,0
1127,27
1128,14
1129,8
1130,89
1131,20
1132,0
1133,6
1134,10
1135,0
1136,10
1137,15
1138,51
1139,284
1140,99
1141,58
1142,0
1143,93
1144,5
1145,3
1146,71
1147,71
1148,3
1149,29
1150,187
1151,128
1152,83
1153,18
1154,28
1155,22
1156,290
1157,0
1158,24
1159,0
1160,3
1161,0
1162,13
1163,0
1164,30
1165,15
1166,119
1167,46
1168,34
1169,33
1170,0
1171,2
1172,39
1173,20
1174,0
1175,13
1176,0
1177,6
1178,6
1179,21
1180,190
1181,96
1182,61
1183,69
1184,14
1185,23
1186,11
1187,257
1188,74
1189,14
1190,18
1191,28
1192,6
1193,0
1194,24
1195,82
1196,5
1197,47
1198,24
1199,3
1200,58
1201,18
1202,59
1203,83
1204,0
1205,271
1206,10
1207,83
1208,0
1209,2
1210,74
1211,5
1212,3
1213,13
1214,5
1215,0
1216,12
1217,43
1218,29
1219,101
1220,7
1221,0
1222,12
1223,7
1224,7
1225,37
1226,122
1227,70
1228,0
1229,0
1230,0
1231,0
1232,7
1233,7
