Rolls,Payoff
0,0
2,2
4,5
6,0
8,21
10,12
12,48
14,56
16,24
18,0
20,42
22,80
24,5
26,66
28,0
30,17
32,37
34,7
36,18
38,2
40,48
42,5
44,3
46,0
48,0
50,110
52,10
54,82
56,56
58,8
60,226
62,5
64,0
66,13
68,139
70,14
72,31
74,126
76,0
78,0
80,2
82,5
84,6
86,15
88,13
90,53
92,12
94,33
96,0
98,172
100,0
102,3
104,42
106,0
108,94
110,6
112,45
114,8
116,261
118,6
120,61
122,6
124,48
126,164
128,0
130,0
132,0
134,44
136,22
138,78
140,261
142,14
144,38
146,63
148,0
150,0
152,38
154,23
156,98
158,108
160,35
162,12
164,5
166,11
168,189
170,5
172,26
174,0
176,20
178,35
180,213
182,0
184,21
186,7
188,143
190,12
192,84
194,17
196,13
198,10
200,14
202,423
204,51
206,7
208,19
210,208
212,27
214,63
216,104
218,0
220,11
222,0
224,80
226,82
228,12
230,47
232,22
234,13
236,54
238,2
240,8
242,78
244,8
246,17
248,0
250,0
252,67
254,11
256,71
258,30
260,44
262,101
264,23
266,5
268,199
270,92
272,61
274,32
276,414
278,56
280,5
282,65
284,24
286,312
288,47
290,65
292,17
294,280
296,58
298,83
300,3
302,0
304,3
306,15
308,32
310,6
312,249
314,3
316,29
318,37
320,10
322,41
324,8
326,13
328,83
330,12
332,39
334,0
336,63
338,26
340,37
342,60
344,0
346,40
348,0
350,42
352,10
354,3
356,160
358,107
360,7
362,150
364,24
366,57
368,67
370,0
372,48
374,61
376,137
378,45
380,15
382,13
384,40
386,17
388,5
390,23
392,141
394,37
396,20
398,191
400,19
402,8
404,34
406,37
408,0
410,54
412,23
414,37
416,3
418,140
420,0
422,0
424,26
426,33
428,21
430,17
432,62
434,66
436,11
438,14
440,145
442,8
444,0
446,12
448,61
450,0
452,79
454,15
456,34
458,35
460,102
462,3
464,119
466,10
468,108
470,7
472,12
474,26
476,89
478,0
480,38
482,2
484,15
486,123
488,0
490,6
492,0
494,26
496,71
498,59
500,139
502,20
504,0
506,3
508,3
510,2
512,3
514,34
516,3
518,68
520,29
522,21
524,0
526,39
528,0
530,11
532,0
534,10
536,5
538,29
540,107
542,155
544,103
546,82
548,55
550,34
552,34
554,349
556,88
558,5
560,75
562,0
564,14
566,34
568,72
570,5
572,12
574,8
576,3
578,20
580,94
582,32
584,190
586,8
588,3
590,51
592,52
594,48
596,0
598,6
600,120
602,5
604,69
606,23
608,19
610,24
612,38
614,24
616,19
618,92
620,66
622,0
624,46
626,11
628,24
630,21
632,30
634,3
636,0
638,8
640,45
642,13
644,99
646,88
648,99
650,6
652,56
654,8
656,96
658,13
660,68
662,20
664,62
666,17
668,79
670,6
672,14
674,63
676,44
678,155
680,3
682,222
684,0
686,133
688,276
690,23
692,91
694,26
696,0
698,28
700,82
702,3
704,0
706,76
708,83
710,56
712,1029
714,106
716,19
718,627
720,6
722,18
724,8
726,13
728,0
730,51
732,39
734,7
736,20
738,192
740,12
742,3
744,0
746,45
748,17
750,43
752,0
754,213
756,7
758,0
760,45
762,2
764,10
766,216
768,48
770,33
772,48
774,19
776,118
778,7
780,18
782,50
784,77
786,29
788,41
790,33
792,7
794,8
796,11
798,69
800,5
802,37
804,6
806,0
808,69
810,194
812,18
814,0
816,7
818,46
820,5
822,35
824,0
826,110
828,75
830,0
832,45
834,195
836,140
838,179
840,67
842,85
844,17
846,22
848,110
850,46
852,317
854,45
856,32
858,502
860,6
862,346
864,5
866,67
868,0
870,241
872,7
874,56
876,80
878,88
880,8
882,101
884,8
886,6
888,6
890,107
892,7
894,6
896,0
898,0
900,92
902,62
904,95
906,18
908,47
910,0
912,21
914,65
916,278
918,67
920,34
922,6
924,82
926,23
928,33
930,46
932,6
934,5
936,134
938,14
940,63
942,3
944,76
946,137
948,24
950,15
952,3
954,34
956,110
958,77
960,3
962,15
964,7
966,46
968,5
970,10
972,84
974,5
976,55
978,2
980,0
982,8
984,55
986,0
988,3
990,0
992,94
994,19
996,19
998,11
