Rolls,Payoff
0,0
10,0
20,51
30,15
40,0
50,35
60,17
70,34
80,5
90,34
100,8
110,79
120,10
130,0
140,12
150,0
160,0
170,34
180,108
190,23
200,24
210,69
220,31
230,106
240,0
250,3
260,91
270,18
280,0
290,5
300,6
310,2
320,0
330,73
340,93
350,26
360,166
370,129
380,31
390,48
400,21
410,5
420,0
430,39
440,60
450,20
460,98
470,7
480,11
490,0
500,168
510,0
520,3
530,18
540,40
550,11
560,184
570,5
580,47
590,0
600,80
610,61
620,11
630,48
640,63
650,30
660,10
670,0
680,231
690,65
700,320
710,188
720,145
730,24
740,13
750,20
760,30
770,6
780,97
790,33
800,41
810,23
820,19
830,18
840,7
850,0
860,22
870,13
880,65
890,7
900,386
910,28
920,63
930,18
940,58
950,2
960,0
970,22
980,35
990,118
1000,5
1010,28
1020,102
1030,61
1040,7
1050,35
1060,6
1070,7
1080,23
1090,11
1100,84
1110,102
1120,45
1130,39
1140,5
1150,97
1160,0
1170,65
1180,11
1190,195
1200,98
1210,0
1220,29
1230,77
1240,99
1250,27
1260,417
1270,0
1280,56
1290,15
1300,41
1310,229
1320,0
1330,61
1340,28
1350,8
1360,19
1370,12
1380,8
1390,8
1400,14
1410,61
1420,68
1430,61
1440,29
1450,23
1460,47
1470,83
1480,52
1490,79
1500,124
1510,58
1520,12
1530,117
1540,10
1550,14
1560,12
1570,8
1580,17
1590,22
1600,136
1610,0
1620,59
1630,8
1640,71
1650,88
1660,0
1670,40
1680,35
1690,28
1700,0
1710,24
1720,0
1730,46
1740,5
1750,26
1760,3
1770,44
1780,2
1790,182
1800,51
1810,56
1820,30
1830,38
1840,2
1850,5
1860,143
1870,29
1880,120
1890,5
1900,8
1910,59
1920,6
1930,2
1940,33
1950,5
1960,13
1970,0
1980,10
1990,2
2000,19
2010,30
2020,6
2030,107
2040,18
2050,63
2060,0
2070,24
2080,7
2090,19
2100,18
2110,42
2120,8
2130,0
2140,11
2150,42
2160,65
2170,15
2180,17
2190,12
2200,47
2210,39
2220,103
2230,3
2240,0
2250,155
2260,20
2270,13
2280,127
2290,28
2300,7
2310,14
2320,0
2330,0
2340,89
2350,156
2360,28
2370,45
2380,99
2390,32
2400,61
2410,83
2420,32
2430,33
2440,3
2450,54
2460,308
2470,176
2480,2
2490,0
2500,23
2510,2
2520,0
2530,63
2540,97
2550,43
2560,19
2570,61
2580,0
2590,41
2600,90
2610,0
2620,31
2630,963
2640,88
2650,70
2660,0
2670,56
2680,45
2690,5
2700,6
2710,96
2720,19
2730,3
2740,15
2750,22
2760,0
2770,96
2780,21
2790,5
2800,141
2810,33
2820,0
2830,0
2840,522
2850,12
2860,18
2870,8
2880,31
2890,26
2900,17
2910,66
2920,217
2930,75
2940,0
2950,0
2960,5
2970,8
2980,73
2990,23
3000,5
3010,2
3020,20
3030,0
3040,34
3050,27
3060,0
3070,32
3080,6
3090,0
3100,48
3110,14
3120,40
3130,24
3140,13
3150,35
3160,11
3170,11
3180,2
3190,66
3200,52
3210,6
3220,0
3230,11
3240,0
3250,6
3260,13
3270,30
3280,40
3290,6
3300,0
3310,6
3320,28
3330,41
3340,39
3350,3
3360,5
3370,56
3380,149
3390,163
3400,28
3410,38
3420,101
3430,65
3440,41
3450,74
3460,3
3470,17
3480,167
3490,38
3500,0
3510,0
3520,46
3530,7
3540,35
3550,5
3560,23
3570,15
3580,200
3590,54
3600,47
3610,33
3620,0
3630,44
3640,70
3650,27
3660,5
3670,0
3680,8
