Rolls,Payoff
0,0
5,0
10,0
15,0
20,59
25,23
30,33
35,116
40,21
45,6
50,28
55,0
60,17
65,185
70,0
75,21
80,6
85,0
90,59
95,322
100,30
105,15
110,11
115,28
120,111
125,89
130,387
135,14
140,0
145,41
150,57
155,5
160,84
165,95
170,0
175,42
180,2
185,0
190,0
195,0
200,33
205,2
210,74
215,110
220,32
225,31
230,172
235,14
240,48
245,95
250,20
255,0
260,13
265,0
270,110
275,6
280,68
285,0
290,67
295,6
300,54
305,6
310,13
315,37
320,430
325,141
330,0
335,0
340,3
345,29
350,18
355,259
360,85
365,111
370,15
375,111
380,34
385,123
390,87
395,17
400,88
405,20
410,88
415,19
420,3
425,319
430,59
435,6
440,8
445,0
450,89
455,185
460,0
465,2
470,0
475,137
480,63
485,11
490,0
495,17
